,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan,Timespan_sec,Category
180,2023-10-16 12:11:38.325,1,2023-10-16 12:12:51.448,0,0 days 00:01:13.123000,73.123,1-2 min
181,2023-10-16 12:15:49.189,1,2023-10-16 12:16:54.190,0,0 days 00:01:05.001000,65.001,1-2 min
182,2023-10-16 12:18:50.976,1,2023-10-16 12:19:24.500,0,0 days 00:00:33.524000,33.524,0-1 min
183,2023-10-16 12:19:34.653,1,2023-10-16 12:21:28.409,0,0 days 00:01:53.756000,113.756,1-2 min
184,2023-10-16 12:24:44.427,1,2023-10-16 12:25:54.504,0,0 days 00:01:10.077000,70.077,1-2 min
185,2023-10-16 12:26:23.951,1,2023-10-16 12:26:40.213,0,0 days 00:00:16.262000,16.262,0-1 min
186,2023-10-16 12:27:01.536,1,2023-10-16 12:32:34.663,0,0 days 00:05:33.127000,333.127,5-6 min
187,2023-10-16 12:32:38.725,1,2023-10-16 12:33:49.818,0,0 days 00:01:11.093000,71.093,1-2 min
188,2023-10-16 12:33:53.880,1,2023-10-16 12:34:45.680,0,0 days 00:00:51.800000,51.8,0-1 min
189,2023-10-16 12:38:45.376,1,2023-10-16 12:44:49.980,0,0 days 00:06:04.604000,364.604,6-7 min
190,2023-10-16 12:45:06.226,1,2023-10-16 12:46:11.227,0,0 days 00:01:05.001000,65.001,1-2 min
191,2023-10-16 12:46:55.920,1,2023-10-16 12:48:11.075,0,0 days 00:01:15.155000,75.155,1-2 min
192,2023-10-16 12:50:15.999,1,2023-10-16 12:50:24.123,0,0 days 00:00:08.124000,8.124,0-1 min
193,2023-10-16 12:50:45.446,1,2023-10-16 12:52:00.616,0,0 days 00:01:15.170000,75.17,1-2 min
194,2023-10-16 12:56:01.311,1,2023-10-16 12:57:02.251,0,0 days 00:01:00.940000,60.94,1-2 min
195,2023-10-16 12:57:22.558,1,2023-10-16 12:57:25.605,0,0 days 00:00:03.047000,3.047,0-1 min
196,2023-10-16 12:58:28.575,1,2023-10-16 12:59:50.853,0,0 days 00:01:22.278000,82.278,1-2 min
197,2023-10-16 13:06:09.673,1,2023-10-16 13:08:30.859,0,0 days 00:02:21.186000,141.186,2-3 min
198,2023-10-16 13:08:34.921,1,2023-10-16 13:11:48.908,0,0 days 00:03:13.987000,193.987,3-4 min
199,2023-10-16 13:12:52.893,1,2023-10-16 13:13:01.016,0,0 days 00:00:08.123000,8.123,0-1 min
200,2023-10-16 13:14:40.541,1,2023-10-16 13:15:18.126,0,0 days 00:00:37.585000,37.585,0-1 min
201,2023-10-16 13:15:23.203,1,2023-10-16 13:15:28.280,0,0 days 00:00:05.077000,5.077,0-1 min
202,2023-10-16 13:16:46.481,1,2023-10-16 13:16:53.588,0,0 days 00:00:07.107000,7.107,0-1 min
203,2023-10-17 10:16:21.704,1,2023-10-17 10:16:34.904,0,0 days 00:00:13.200000,13.2,0-1 min
204,2023-10-17 10:16:43.027,1,2023-10-17 10:16:47.088,0,0 days 00:00:04.061000,4.061,0-1 min
205,2023-10-17 10:16:59.273,1,2023-10-17 10:17:05.366,0,0 days 00:00:06.093000,6.093,0-1 min
206,2023-10-17 11:07:40.064,1,2023-10-17 11:09:34.835,0,0 days 00:01:54.771000,114.771,1-2 min
207,2023-10-17 11:41:38.443,1,2023-10-17 11:43:35.245,0,0 days 00:01:56.802000,116.802,1-2 min
208,2023-10-17 11:44:00.630,1,2023-10-17 11:44:11.799,0,0 days 00:00:11.169000,11.169,0-1 min
209,2023-10-17 12:09:00.725,1,2023-10-17 12:09:29.156,0,0 days 00:00:28.431000,28.431,0-1 min
210,2023-10-17 12:12:31.974,1,2023-10-17 12:12:57.359,0,0 days 00:00:25.385000,25.385,0-1 min
211,2023-10-17 12:13:45.098,1,2023-10-17 12:13:48.144,0,0 days 00:00:03.046000,3.046,0-1 min
212,2023-10-17 12:17:54.947,1,2023-10-17 12:17:59.009,0,0 days 00:00:04.062000,4.062,0-1 min
213,2023-10-17 12:18:11.194,1,2023-10-17 12:18:14.240,0,0 days 00:00:03.046000,3.046,0-1 min
214,2023-10-17 12:18:26.425,1,2023-10-17 12:19:11.117,0,0 days 00:00:44.692000,44.692,0-1 min
