,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan
954,2023-10-11 11:53:25.404,1,2023-10-11 11:53:36.574,0,0 days 00:00:11.170000
955,2023-10-11 11:53:57.897,1,2023-10-11 11:54:10.082,0,0 days 00:00:12.185000
956,2023-10-11 11:54:25.328,1,2023-10-11 11:54:39.544,0,0 days 00:00:14.216000
957,2023-10-11 11:54:46.652,1,2023-10-11 11:55:06.959,0,0 days 00:00:20.307000
958,2023-10-11 11:55:28.283,1,2023-10-11 11:55:35.406,0,0 days 00:00:07.123000
959,2023-10-11 11:55:58.760,1,2023-10-11 11:56:10.945,0,0 days 00:00:12.185000
960,2023-10-11 11:56:28.206,1,2023-10-11 11:56:57.668,0,0 days 00:00:29.462000
961,2023-10-11 11:57:14.930,1,2023-10-11 11:57:40.315,0,0 days 00:00:25.385000
962,2023-10-11 11:58:10.792,1,2023-10-11 11:58:17.900,0,0 days 00:00:07.108000
963,2023-10-11 11:58:33.131,1,2023-10-11 11:59:43.209,0,0 days 00:01:10.078000
964,2023-10-11 12:00:01.502,1,2023-10-11 12:00:16.732,0,0 days 00:00:15.230000
965,2023-10-11 12:00:45.163,1,2023-10-11 12:00:53.287,0,0 days 00:00:08.124000
966,2023-10-11 12:01:21.733,1,2023-10-11 12:02:41.965,0,0 days 00:01:20.232000
967,2023-10-11 12:02:59.227,1,2023-10-11 12:03:21.581,0,0 days 00:00:22.354000
968,2023-10-11 12:04:08.289,1,2023-10-11 12:04:14.381,0,0 days 00:00:06.092000
969,2023-10-11 12:04:21.505,1,2023-10-11 12:04:45.874,0,0 days 00:00:24.369000
970,2023-10-11 12:05:05.167,1,2023-10-11 12:05:15.321,0,0 days 00:00:10.154000
971,2023-10-11 12:05:31.582,1,2023-10-11 12:06:00.013,0,0 days 00:00:28.431000
972,2023-10-11 12:06:18.291,1,2023-10-11 12:06:43.691,0,0 days 00:00:25.400000
973,2023-10-11 12:08:27.277,1,2023-10-11 12:08:35.400,0,0 days 00:00:08.123000
974,2023-10-11 12:09:19.077,1,2023-10-11 12:09:23.139,0,0 days 00:00:04.062000
975,2023-10-11 12:10:48.448,1,2023-10-11 12:11:45.325,0,0 days 00:00:56.877000
976,2023-10-11 12:11:54.464,1,2023-10-11 12:12:03.618,0,0 days 00:00:09.154000
977,2023-10-11 12:12:13.772,1,2023-10-11 12:12:24.941,0,0 days 00:00:11.169000
978,2023-10-11 12:12:27.987,1,2023-10-11 12:12:32.049,0,0 days 00:00:04.062000
979,2023-10-11 12:13:15.711,1,2023-10-11 12:13:19.773,0,0 days 00:00:04.062000
980,2023-10-11 12:13:50.234,1,2023-10-11 12:14:04.450,0,0 days 00:00:14.216000
981,2023-10-11 12:14:43.050,1,2023-10-11 12:15:16.558,0,0 days 00:00:33.508000
982,2023-10-11 12:15:57.190,1,2023-10-11 12:16:00.236,0,0 days 00:00:03.046000
983,2023-10-11 12:16:04.297,1,2023-10-11 12:16:33.759,0,0 days 00:00:29.462000
984,2023-10-11 12:16:59.144,1,2023-10-11 12:17:09.298,0,0 days 00:00:10.154000
985,2023-10-11 12:17:12.344,1,2023-10-11 12:17:31.653,0,0 days 00:00:19.309000
986,2023-10-11 12:17:40.791,1,2023-10-11 12:17:50.945,0,0 days 00:00:10.154000
987,2023-10-11 12:18:04.145,1,2023-10-11 12:18:08.207,0,0 days 00:00:04.062000
988,2023-10-11 12:18:15.314,1,2023-10-11 12:18:26.484,0,0 days 00:00:11.170000
989,2023-10-11 12:18:42.746,1,2023-10-11 12:18:55.946,0,0 days 00:00:13.200000
990,2023-10-11 12:19:40.623,1,2023-10-11 12:19:55.870,0,0 days 00:00:15.247000
991,2023-10-11 12:20:07.039,1,2023-10-11 12:20:11.101,0,0 days 00:00:04.062000
992,2023-10-11 12:20:26.331,1,2023-10-11 12:22:42.425,0,0 days 00:02:16.094000
993,2023-10-11 12:22:46.487,1,2023-10-11 12:22:49.533,0,0 days 00:00:03.046000
994,2023-10-11 12:23:31.180,1,2023-10-11 12:24:12.827,0,0 days 00:00:41.647000
995,2023-10-11 12:24:37.196,1,2023-10-11 12:25:51.335,0,0 days 00:01:14.139000
996,2023-10-11 12:26:20.797,1,2023-10-11 12:26:31.967,0,0 days 00:00:11.170000
997,2023-10-11 12:26:48.213,1,2023-10-11 12:27:04.459,0,0 days 00:00:16.246000
998,2023-10-11 12:27:46.106,1,2023-10-11 12:27:54.229,0,0 days 00:00:08.123000
999,2023-10-11 12:28:23.676,1,2023-10-11 12:29:59.154,0,0 days 00:01:35.478000
1000,2023-10-11 12:30:15.400,1,2023-10-11 12:30:38.754,0,0 days 00:00:23.354000
1001,2023-10-11 12:31:06.185,1,2023-10-11 12:31:30.555,0,0 days 00:00:24.370000
1002,2023-10-11 12:31:46.801,1,2023-10-11 12:32:49.771,0,0 days 00:01:02.970000
1003,2023-10-11 12:33:04.002,1,2023-10-11 12:33:25.326,0,0 days 00:00:21.324000
1004,2023-10-11 12:33:55.787,1,2023-10-11 12:34:14.080,0,0 days 00:00:18.293000
1005,2023-10-11 12:34:23.219,1,2023-10-11 12:34:41.496,0,0 days 00:00:18.277000
1006,2023-10-11 12:35:05.865,1,2023-10-11 12:35:09.942,0,0 days 00:00:04.077000
1007,2023-10-11 12:35:14.004,1,2023-10-11 12:35:37.358,0,0 days 00:00:23.354000
1008,2023-10-11 12:36:01.727,1,2023-10-11 12:36:12.897,0,0 days 00:00:11.170000
1009,2023-10-11 12:36:20.020,1,2023-10-11 12:36:41.343,0,0 days 00:00:21.323000
1010,2023-10-11 12:37:04.697,1,2023-10-11 12:38:01.575,0,0 days 00:00:56.878000
1011,2023-10-11 12:38:26.960,1,2023-10-11 12:39:22.822,0,0 days 00:00:55.862000
1012,2023-10-11 12:39:41.115,1,2023-10-11 12:39:54.315,0,0 days 00:00:13.200000
1013,2023-10-11 12:40:02.438,1,2023-10-11 12:40:24.777,0,0 days 00:00:22.339000
1014,2023-10-11 12:40:30.869,1,2023-10-11 12:41:05.408,0,0 days 00:00:34.539000
1015,2023-10-11 12:41:24.701,1,2023-10-11 12:42:33.763,0,0 days 00:01:09.062000
1016,2023-10-11 12:42:48.994,1,2023-10-11 12:43:04.240,0,0 days 00:00:15.246000
1017,2023-10-11 12:43:07.286,1,2023-10-11 12:43:19.471,0,0 days 00:00:12.185000
1018,2023-10-11 12:43:24.548,1,2023-10-11 12:44:04.164,0,0 days 00:00:39.616000
1019,2023-10-11 12:45:42.673,1,2023-10-11 12:46:48.689,0,0 days 00:01:06.016000
1020,2023-10-11 12:46:52.751,1,2023-10-11 12:47:08.997,0,0 days 00:00:16.246000
1021,2023-10-11 12:47:41.505,1,2023-10-11 12:47:47.598,0,0 days 00:00:06.093000
1022,2023-10-11 12:47:58.767,1,2023-10-11 12:48:26.198,0,0 days 00:00:27.431000
1023,2023-10-11 12:48:51.583,1,2023-10-11 12:49:38.307,0,0 days 00:00:46.724000
1024,2023-10-11 12:50:02.676,1,2023-10-11 12:50:27.046,0,0 days 00:00:24.370000
1025,2023-10-11 12:50:50.415,1,2023-10-11 12:51:26.969,0,0 days 00:00:36.554000
1026,2023-10-11 12:51:35.092,1,2023-10-11 12:52:02.524,0,0 days 00:00:27.432000
1027,2023-10-11 12:52:22.832,1,2023-10-11 12:52:38.062,0,0 days 00:00:15.230000
1028,2023-10-11 12:53:23.771,1,2023-10-11 12:53:36.971,0,0 days 00:00:13.200000
1029,2023-10-11 12:54:35.879,1,2023-10-11 12:54:42.987,0,0 days 00:00:07.108000
1030,2023-10-11 12:55:11.434,1,2023-10-11 12:55:22.603,0,0 days 00:00:11.169000
1031,2023-10-11 12:55:46.973,1,2023-10-11 12:56:15.419,0,0 days 00:00:28.446000
1032,2023-10-11 12:56:25.573,1,2023-10-11 12:56:41.819,0,0 days 00:00:16.246000
1033,2023-10-11 12:56:48.927,1,2023-10-11 12:56:55.019,0,0 days 00:00:06.092000
1034,2023-10-11 12:57:39.712,1,2023-10-11 12:57:44.789,0,0 days 00:00:05.077000
1035,2023-10-11 12:57:59.005,1,2023-10-11 12:58:20.344,0,0 days 00:00:21.339000
1036,2023-10-11 12:58:34.559,1,2023-10-11 12:58:54.867,0,0 days 00:00:20.308000
1037,2023-10-11 12:59:08.067,1,2023-10-11 12:59:28.391,0,0 days 00:00:20.324000
1038,2023-10-11 13:00:16.114,1,2023-10-11 13:00:30.330,0,0 days 00:00:14.216000
1039,2023-10-11 13:00:52.684,1,2023-10-11 13:01:10.961,0,0 days 00:00:18.277000
1040,2023-10-11 13:02:07.839,1,2023-10-11 13:02:12.916,0,0 days 00:00:05.077000
1041,2023-10-11 13:02:24.085,1,2023-10-11 13:02:28.147,0,0 days 00:00:04.062000
1042,2023-10-11 13:03:15.886,1,2023-10-11 13:03:31.117,0,0 days 00:00:15.231000
1043,2023-10-11 13:03:51.440,1,2023-10-11 13:04:02.609,0,0 days 00:00:11.169000
1044,2023-10-11 13:04:45.256,1,2023-10-11 13:04:57.456,0,0 days 00:00:12.200000
1045,2023-10-11 13:05:26.903,1,2023-10-11 13:05:45.180,0,0 days 00:00:18.277000
1046,2023-10-11 13:05:52.288,1,2023-10-11 13:06:31.903,0,0 days 00:00:39.615000
1047,2023-10-11 13:06:47.134,1,2023-10-11 13:07:12.535,0,0 days 00:00:25.401000
1048,2023-10-11 13:07:36.904,1,2023-10-11 13:07:44.012,0,0 days 00:00:07.108000
1049,2023-10-11 13:07:47.058,1,2023-10-11 13:07:57.212,0,0 days 00:00:10.154000
1050,2023-10-11 13:08:23.628,1,2023-10-11 13:10:28.553,0,0 days 00:02:04.925000
1051,2023-10-11 13:10:36.676,1,2023-10-11 13:10:39.722,0,0 days 00:00:03.046000
1052,2023-10-11 13:10:52.922,1,2023-10-11 13:11:00.030,0,0 days 00:00:07.108000
1053,2023-10-11 13:11:09.168,1,2023-10-11 13:11:42.692,0,0 days 00:00:33.524000
1054,2023-10-11 13:12:10.108,1,2023-10-11 13:12:25.338,0,0 days 00:00:15.230000
1055,2023-10-11 13:12:57.847,1,2023-10-11 13:13:17.139,0,0 days 00:00:19.292000
1056,2023-10-11 13:13:30.339,1,2023-10-11 13:13:42.524,0,0 days 00:00:12.185000
1057,2023-10-11 13:13:48.632,1,2023-10-11 13:14:20.109,0,0 days 00:00:31.477000
1058,2023-10-11 13:14:34.325,1,2023-10-11 13:14:56.679,0,0 days 00:00:22.354000
1059,2023-10-11 13:15:04.802,1,2023-10-11 13:15:23.079,0,0 days 00:00:18.277000
1060,2023-10-11 13:16:01.680,1,2023-10-11 13:16:53.465,0,0 days 00:00:51.785000
1061,2023-10-11 13:17:20.896,1,2023-10-11 13:17:29.019,0,0 days 00:00:08.123000
1062,2023-10-11 13:18:59.405,1,2023-10-11 13:19:11.589,0,0 days 00:00:12.184000
1063,2023-10-11 13:19:38.005,1,2023-10-11 13:19:44.098,0,0 days 00:00:06.093000
1064,2023-10-11 13:20:00.344,1,2023-10-11 13:20:21.683,0,0 days 00:00:21.339000
1065,2023-10-11 13:20:29.806,1,2023-10-11 13:20:51.129,0,0 days 00:00:21.323000
1066,2023-10-11 13:21:16.514,1,2023-10-11 13:21:58.161,0,0 days 00:00:41.647000
1067,2023-10-11 13:22:17.453,1,2023-10-11 13:23:04.177,0,0 days 00:00:46.724000
1068,2023-10-11 13:23:30.577,1,2023-10-11 13:23:40.747,0,0 days 00:00:10.170000
1069,2023-10-11 13:23:59.024,1,2023-10-11 13:24:04.101,0,0 days 00:00:05.077000
1070,2023-10-11 13:24:37.609,1,2023-10-11 13:25:03.009,0,0 days 00:00:25.400000
1071,2023-10-11 13:25:09.102,1,2023-10-11 13:25:29.410,0,0 days 00:00:20.308000
1072,2023-10-11 13:25:46.671,1,2023-10-11 13:25:57.856,0,0 days 00:00:11.185000
1073,2023-10-11 13:26:02.933,1,2023-10-11 13:26:34.410,0,0 days 00:00:31.477000
1074,2023-10-11 13:27:49.565,1,2023-10-11 13:28:08.873,0,0 days 00:00:19.308000
1075,2023-10-11 13:28:20.042,1,2023-10-11 13:28:29.181,0,0 days 00:00:09.139000
1076,2023-10-11 13:28:49.489,1,2023-10-11 13:28:52.535,0,0 days 00:00:03.046000
1077,2023-10-11 13:29:10.828,1,2023-10-11 13:29:17.936,0,0 days 00:00:07.108000
